Variável,Valor
yi#1#1#0,0.0
yi#1#1#1,21420.0
yi#1#1#2,679.9999999999964
yi#1#1#3,0.0
yi#1#1#4,0.0
yi#1#1#5,0.0
yi#1#1#6,0.0
yi#1#1#7,0.0
yi#1#1#8,0.0
yi#1#1#9,0.0
yi#1#1#10,0.0
yi#1#1#11,0.0
yi#1#1#12,0.0
yi#1#1#13,0.0
yi#1#1#14,0.0
yi#1#1#15,0.0
yi#1#1#16,0.0
yi#1#1#17,0.0
yi#1#1#18,0.0
yi#1#1#19,0.0
yi#1#1#20,0.0
yi#1#1#21,0.0
yi#1#1#22,0.0
yi#1#1#23,0.0
yi#1#1#24,0.0
yi#1#1#25,0.0
yi#1#1#26,0.0
yi#1#1#27,0.0
yi#1#1#28,0.0
yi#1#1#29,0.0
yi#1#1#30,0.0
yi#1#3#0,0.0
yi#1#3#1,0.0
yi#1#3#2,1999.9999999999054
yi#1#3#3,0.0
yi#1#3#4,0.0
yi#1#3#5,0.0
yi#1#3#6,0.0
yi#1#3#7,0.0
yi#1#3#8,0.0
yi#1#3#9,0.0
yi#1#3#10,0.0
yi#1#3#11,0.0
yi#1#3#12,0.0
yi#1#3#13,0.0
yi#1#3#14,0.0
yi#1#3#15,0.0
yi#1#3#16,0.0
yi#1#3#17,0.0
yi#1#3#18,0.0
yi#1#3#19,0.0
yi#1#3#20,0.0
yi#1#3#21,0.0
yi#1#3#22,0.0
yi#1#3#23,0.0
yi#1#3#24,0.0
yi#1#3#25,0.0
yi#1#3#26,0.0
yi#1#3#27,0.0
yi#1#3#28,0.0
yi#1#3#29,0.0
yi#1#3#30,0.0
yi#2#5#0,0.0
yi#2#5#1,0.0
yi#2#5#2,17192.0
yi#2#5#3,0.0
yi#2#5#4,0.0
yi#2#5#5,0.0
yi#2#5#6,0.0
yi#2#5#7,0.0
yi#2#5#8,0.0
yi#2#5#9,0.0
yi#2#5#10,0.0
yi#2#5#11,0.0
yi#2#5#12,0.0
yi#2#5#13,16808.0
yi#2#5#14,0.0
yi#2#5#15,0.0
yi#2#5#16,0.0
yi#2#5#17,0.0
yi#2#5#18,0.0
yi#2#5#19,0.0
yi#2#5#20,0.0
yi#2#5#21,0.0
yi#2#5#22,0.0
yi#2#5#23,0.0
yi#2#5#24,0.0
yi#2#5#25,0.0
yi#2#5#26,0.0
yi#2#5#27,0.0
yi#2#5#28,0.0
yi#2#5#29,0.0
yi#2#5#30,0.0
yi#3#1#0,0.0
yi#3#1#1,18900.000000000004
yi#3#1#2,0.0
yi#3#1#3,0.0
yi#3#1#4,0.0
yi#3#1#5,0.0
yi#3#1#6,0.0
yi#3#1#7,0.0
yi#3#1#8,0.0
yi#3#1#9,0.0
yi#3#1#10,0.0
yi#3#1#11,0.0
yi#3#1#12,0.0
yi#3#1#13,0.0
yi#3#1#14,0.0
yi#3#1#15,0.0
yi#3#1#16,0.0
yi#3#1#17,0.0
yi#3#1#18,0.0
yi#3#1#19,0.0
yi#3#1#20,0.0
yi#3#1#21,0.0
yi#3#1#22,0.0
yi#3#1#23,0.0
yi#3#1#24,0.0
yi#3#1#25,0.0
yi#3#1#26,0.0
yi#3#1#27,0.0
yi#3#1#28,0.0
yi#3#1#29,0.0
yi#3#1#30,0.0
yi#4#3#0,0.0
yi#4#3#1,10000.0
yi#4#3#2,10000.0
yi#4#3#3,10000.0
yi#4#3#4,10000.0
yi#4#3#5,0.0
yi#4#3#6,0.0
yi#4#3#7,0.0
yi#4#3#8,0.0
yi#4#3#9,0.0
yi#4#3#10,0.0
yi#4#3#11,0.0
yi#4#3#12,0.0
yi#4#3#13,0.0
yi#4#3#14,0.0
yi#4#3#15,0.0
yi#4#3#16,0.0
yi#4#3#17,0.0
yi#4#3#18,0.0
yi#4#3#19,5000.000000000091
yi#4#3#20,-1.8189894035458565e-12
yi#4#3#21,0.0
yi#4#3#22,0.0
yi#4#3#23,0.0
yi#4#3#24,0.0
yi#4#3#25,0.0
yi#4#3#26,0.0
yi#4#3#27,0.0
yi#4#3#28,0.0
yi#4#3#29,0.0
yi#4#3#30,0.0
Tmax,26.0
yd#1#1#2#1,0.0
x#1#1#1#5#3,0.0
x#1#1#1#5#2,0.0
x#1#1#1#5#1,0.0
x#1#1#1#4#4,0.0
x#1#1#1#4#3,0.0
x#1#1#1#4#2,0.0
x#1#1#1#4#1,0.0
x#1#1#1#3#4,0.0
x#1#1#1#3#3,0.0
x#1#1#1#3#2,0.0
x#1#1#1#3#1,0.0
x#1#1#1#5#4,0.0
x2#3#1#1#1#1,0.0
x2#3#1#1#1#2,0.0
x2#3#1#1#1#3,0.0
x2#3#1#1#1#4,0.0
Q#1#1#1,0.0
I#1#1#0,1000.0
I#1#1#1,1000.0
yd#1#1#2#2,1000.0
x#1#1#2#3#1,0.0
x#1#1#2#3#2,0.0
x#1#1#2#3#3,0.0
x#1#1#2#3#4,0.0
x#1#1#2#4#1,0.0
x#1#1#2#5#4,0.0
x#1#1#2#5#3,0.0
x#1#1#2#5#2,0.0
x#1#1#2#5#1,0.0
x#1#1#2#4#4,0.0
x#1#1#2#4#3,0.0
x#1#1#2#4#2,0.0
x2#3#1#2#1#1,0.0
x2#3#1#2#1#2,0.0
x2#3#1#2#1#3,0.0
x2#3#1#2#1#4,0.0
Q#1#1#2,0.0
I#1#1#2,0.0
yd#1#1#2#3,0.0
x#1#1#3#5#4,0.0
x#1#1#3#3#1,0.0
x#1#1#3#3#2,0.0
x#1#1#3#5#3,0.0
x#1#1#3#5#2,0.0
x#1#1#3#5#1,0.0
x#1#1#3#4#4,0.0
x#1#1#3#4#3,0.0
x#1#1#3#4#2,0.0
x#1#1#3#4#1,0.0
x#1#1#3#3#4,0.0
x#1#1#3#3#3,0.0
x2#3#1#3#1#1,0.0
x2#3#1#3#1#2,0.0
x2#3#1#3#1#3,0.0
x2#3#1#3#1#4,0.0
Q#1#1#3,0.0
I#1#1#3,0.0
yd#1#1#2#4,0.0
x#1#1#4#3#3,0.0
x#1#1#4#3#4,0.0
x#1#1#4#4#1,0.0
x#1#1#4#4#2,0.0
x#1#1#4#4#3,0.0
x#1#1#4#4#4,0.0
x#1#1#4#5#1,0.0
x#1#1#4#5#2,0.0
x#1#1#4#5#3,0.0
x#1#1#4#5#4,0.0
x#1#1#4#3#2,0.0
x#1#1#4#3#1,0.0
x2#3#1#4#1#1,0.0
x2#3#1#4#1#2,0.0
x2#3#1#4#1#3,0.0
x2#3#1#4#1#4,0.0
Q#1#1#4,0.0
I#1#1#4,0.0
yd#1#1#2#5,0.0
x#1#1#5#3#1,0.0
x#1#1#5#3#2,0.0
x#1#1#5#3#3,0.0
x#1#1#5#3#4,0.0
x#1#1#5#4#1,0.0
x#1#1#5#4#2,0.0
x#1#1#5#4#3,0.0
x#1#1#5#4#4,0.0
x#1#1#5#5#1,0.0
x#1#1#5#5#2,0.0
x#1#1#5#5#3,0.0
x#1#1#5#5#4,0.0
x2#3#1#5#1#1,0.0
x2#3#1#5#1#2,0.0
x2#3#1#5#1#3,0.0
x2#3#1#5#1#4,0.0
Q#1#1#5,0.0
I#1#1#5,0.0
yd#1#1#2#6,0.0
x#1#1#6#5#4,0.0
x#1#1#6#5#3,0.0
x#1#1#6#5#2,0.0
x#1#1#6#5#1,0.0
x#1#1#6#4#4,0.0
x#1#1#6#4#3,0.0
x#1#1#6#3#2,0.0
x#1#1#6#3#3,0.0
x#1#1#6#3#4,0.0
x#1#1#6#4#1,0.0
x#1#1#6#4#2,0.0
x#1#1#6#3#1,0.0
x2#3#1#6#1#1,0.0
x2#3#1#6#1#2,0.0
x2#3#1#6#1#3,0.0
x2#3#1#6#1#4,0.0
Q#1#1#6,0.0
I#1#1#6,0.0
yd#1#1#2#7,0.0
x#1#1#7#5#4,0.0
x#1#1#7#5#3,0.0
x#1#1#7#5#2,0.0
x#1#1#7#5#1,0.0
x#1#1#7#4#4,0.0
x#1#1#7#4#3,0.0
x#1#1#7#3#1,0.0
x#1#1#7#3#2,0.0
x#1#1#7#4#2,0.0
x#1#1#7#4#1,0.0
x#1#1#7#3#4,0.0
x#1#1#7#3#3,0.0
x2#3#1#7#1#1,0.0
x2#3#1#7#1#2,0.0
x2#3#1#7#1#3,0.0
x2#3#1#7#1#4,0.0
Q#1#1#7,0.0
I#1#1#7,0.0
yd#1#1#2#8,0.0
x#1#1#8#3#2,0.0
x#1#1#8#3#1,0.0
x#1#1#8#3#3,0.0
x#1#1#8#3#4,0.0
x#1#1#8#4#1,0.0
x#1#1#8#4#2,0.0
x#1#1#8#4#3,0.0
x#1#1#8#4#4,0.0
x#1#1#8#5#1,0.0
x#1#1#8#5#2,0.0
x#1#1#8#5#3,0.0
x#1#1#8#5#4,0.0
x2#3#1#8#1#1,0.0
x2#3#1#8#1#2,0.0
x2#3#1#8#1#3,0.0
x2#3#1#8#1#4,0.0
Q#1#1#8,0.0
I#1#1#8,0.0
yd#1#1#2#9,0.0
x#1#1#9#3#1,0.0
x#1#1#9#3#2,0.0
x#1#1#9#3#3,0.0
x#1#1#9#3#4,0.0
x#1#1#9#4#1,0.0
x#1#1#9#4#2,0.0
x#1#1#9#4#3,0.0
x#1#1#9#4#4,0.0
x#1#1#9#5#1,0.0
x#1#1#9#5#2,0.0
x#1#1#9#5#3,0.0
x#1#1#9#5#4,0.0
x2#3#1#9#1#1,0.0
x2#3#1#9#1#2,0.0
x2#3#1#9#1#3,0.0
x2#3#1#9#1#4,0.0
Q#1#1#9,0.0
I#1#1#9,0.0
yd#1#1#2#10,0.0
x#1#1#10#5#4,0.0
x#1#1#10#5#3,0.0
x#1#1#10#5#2,0.0
x#1#1#10#5#1,0.0
x#1#1#10#4#4,0.0
x#1#1#10#4#3,0.0
x#1#1#10#4#2,0.0
x#1#1#10#4#1,0.0
x#1#1#10#3#4,0.0
x#1#1#10#3#3,0.0
x#1#1#10#3#2,0.0
x#1#1#10#3#1,0.0
x2#3#1#10#1#1,0.0
x2#3#1#10#1#2,0.0
x2#3#1#10#1#3,0.0
x2#3#1#10#1#4,0.0
Q#1#1#10,0.0
I#1#1#10,0.0
yd#1#1#2#11,0.0
x#1#1#11#4#3,0.0
x#1#1#11#4#4,0.0
x#1#1#11#3#1,0.0
x#1#1#11#3#2,0.0
x#1#1#11#5#1,0.0
x#1#1#11#5#2,0.0
x#1#1#11#5#3,0.0
x#1#1#11#5#4,0.0
x#1#1#11#3#3,0.0
x#1#1#11#3#4,0.0
x#1#1#11#4#1,0.0
x#1#1#11#4#2,0.0
x2#3#1#11#1#1,0.0
x2#3#1#11#1#2,0.0
x2#3#1#11#1#3,0.0
x2#3#1#11#1#4,0.0
Q#1#1#11,0.0
I#1#1#11,0.0
yd#1#1#2#12,0.0
x#1#1#12#3#1,0.0
x#1#1#12#3#2,0.0
x#1#1#12#3#3,0.0
x#1#1#12#3#4,0.0
x#1#1#12#5#4,0.0
x#1#1#12#5#3,0.0
x#1#1#12#5#2,0.0
x#1#1#12#5#1,0.0
x#1#1#12#4#4,0.0
x#1#1#12#4#3,0.0
x#1#1#12#4#2,0.0
x#1#1#12#4#1,0.0
x2#3#1#12#1#1,0.0
x2#3#1#12#1#2,0.0
x2#3#1#12#1#3,0.0
x2#3#1#12#1#4,0.0
Q#1#1#12,0.0
I#1#1#12,0.0
yd#1#1#2#13,0.0
x#1#1#13#3#1,0.0
x#1#1#13#3#2,0.0
x#1#1#13#3#3,0.0
x#1#1#13#3#4,0.0
x#1#1#13#4#1,0.0
x#1#1#13#4#2,0.0
x#1#1#13#4#3,0.0
x#1#1#13#4#4,0.0
x#1#1#13#5#1,0.0
x#1#1#13#5#2,0.0
x#1#1#13#5#3,0.0
x#1#1#13#5#4,0.0
x2#3#1#13#1#1,0.0
x2#3#1#13#1#2,0.0
x2#3#1#13#1#3,0.0
x2#3#1#13#1#4,0.0
Q#1#1#13,0.0
I#1#1#13,0.0
yd#1#1#2#14,0.0
x#1#1#14#5#4,0.0
x#1#1#14#5#3,0.0
x#1#1#14#5#2,0.0
x#1#1#14#5#1,0.0
x#1#1#14#4#4,0.0
x#1#1#14#4#3,0.0
x#1#1#14#4#2,0.0
x#1#1#14#4#1,0.0
x#1#1#14#3#4,0.0
x#1#1#14#3#3,0.0
x#1#1#14#3#2,0.0
x#1#1#14#3#1,0.0
x2#3#1#14#1#1,0.0
x2#3#1#14#1#2,0.0
x2#3#1#14#1#3,0.0
x2#3#1#14#1#4,0.0
Q#1#1#14,0.0
I#1#1#14,0.0
yd#1#1#2#15,0.0
x#1#1#15#5#2,0.0
x#1#1#15#5#1,0.0
x#1#1#15#4#4,0.0
x#1#1#15#4#3,0.0
x#1#1#15#5#3,0.0
x#1#1#15#5#4,0.0
x#1#1#15#3#1,0.0
x#1#1#15#3#2,0.0
x#1#1#15#3#3,0.0
x#1#1#15#3#4,0.0
x#1#1#15#4#1,0.0
x#1#1#15#4#2,0.0
x2#3#1#15#1#1,0.0
x2#3#1#15#1#2,0.0
x2#3#1#15#1#3,0.0
x2#3#1#15#1#4,0.0
Q#1#1#15,0.0
I#1#1#15,0.0
yd#1#1#2#16,0.0
x#1#1#16#4#2,0.0
x#1#1#16#5#4,0.0
x#1#1#16#5#3,0.0
x#1#1#16#5#2,0.0
x#1#1#16#5#1,0.0
x#1#1#16#4#4,0.0
x#1#1#16#4#3,0.0
